"","title","artist","top genre","year","bpm","nrgy","dnce","dB","live","val","dur","acous","spch","pop"
"563","MOVE TO MIAMI","Enrique Iglesias","dance pop",2018,100,87,76,-4,7,90,169,3,5,64
"564","Miss You (with Major Lazer & Tory Lanez)","Cashmere Cat","downtempo",2018,100,64,75,-5,11,45,186,25,9,64
"565","Filthy","Justin Timberlake","dance pop",2018,97,58,75,-6,25,65,294,4,14,62
"566","Never Be the Same - Radio Edit","Camila Cabello","dance pop",2018,130,69,63,-4,12,25,227,16,9,57
"567","Ferrari","Bebe Rexha","dance pop",2018,77,48,58,-6,10,42,213,2,3,57
"568","Supplies","Justin Timberlake","dance pop",2018,120,55,79,-7,13,23,226,1,5,57
"569","Boom Boom","RedOne","moroccan pop",2018,110,76,75,-8,20,58,248,0,5,53
"570","...Ready For It? - BloodPop® Remix","Taylor Swift","pop",2018,160,84,58,-5,10,50,190,13,22,52
"571","Drip (feat. Migos)","Cardi B","pop",2018,130,59,97,-8,8,27,264,5,26,45
"572","Tell Me You Love Me - NOTD Remix","Demi Lovato","dance pop",2018,102,77,58,-5,9,76,182,5,8,44
"573","Memories","Maroon 5","pop",2019,91,32,76,-7,8,57,189,84,5,99
"574","Lose You To Love Me","Selena Gomez","dance pop",2019,102,34,51,-9,21,9,206,58,4,97
"575","Someone You Loved","Lewis Capaldi","pop",2019,110,41,50,-6,11,45,182,75,3,96
"576","Señorita","Shawn Mendes","canadian pop",2019,117,54,76,-6,9,75,191,4,3,95
"577","How Do You Sleep?","Sam Smith","pop",2019,111,68,48,-5,8,35,202,15,9,93
"578","South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran","pop",2019,98,62,86,-6,9,67,204,15,8,92
"579","Trampoline (with ZAYN)","SHAED","electropop",2019,127,46,62,-6,14,50,184,56,3,92
"580","Happier","Marshmello","brostep",2019,100,79,69,-3,17,67,214,19,5,90
"581","Truth Hurts","Lizzo","escape room",2019,158,62,72,-3,12,41,173,11,11,90
"582","Good as Hell (feat. Ariana Grande) - Remix","Lizzo","escape room",2019,96,89,67,-3,74,48,159,30,6,90
"583","Higher Love","Kygo","edm",2019,104,68,69,-7,10,40,228,2,3,88
"584","Only Human","Jonas Brothers","boy band",2019,94,50,80,-6,6,87,183,11,7,87
"585","Beautiful People (feat. Khalid)","Ed Sheeran","pop",2019,93,65,64,-8,8,55,198,12,19,86
"586","Sucker","Jonas Brothers","boy band",2019,138,73,84,-5,11,95,181,4,6,86
"587","Don't Call Me Up","Mabel","dance pop",2019,99,88,67,-3,8,23,178,30,15,86
"588","I Don't Care (with Justin Bieber)","Ed Sheeran","pop",2019,102,68,80,-5,9,84,220,9,4,85
"589","Talk (feat. Disclosure)","Khalid","alternative r&b",2019,136,40,90,-9,6,35,198,5,13,84
"590","Giant (with Rag'n'Bone Man)","Calvin Harris","dance pop",2019,122,89,81,-4,8,61,229,2,4,84
"591","Takeaway","The Chainsmokers","electropop",2019,100,51,53,-8,10,35,210,13,3,83
"592","All Around The World (La La La)","R3HAB","big room",2019,125,86,73,-5,11,52,148,48,3,82
"593","Girls Like You (feat. Cardi B)","Maroon 5","pop",2019,125,54,85,-7,13,45,236,57,5,81
"594","Call You Mine","The Chainsmokers","electropop",2019,104,70,59,-6,34,52,218,20,3,81
"595","No Guidance (feat. Drake)","Chris Brown","dance pop",2019,93,45,70,-7,16,14,261,12,15,81
"596","Antisocial (with Travis Scott)","Ed Sheeran","pop",2019,152,82,72,-5,36,91,162,13,5,78
"597","Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake","electronic trap",2019,96,80,84,-4,6,62,213,16,23,77
"598","Con Calma - Remix","Daddy Yankee","latin",2019,94,87,74,-3,4,61,181,17,5,76
"599","Find U Again (feat. Camila Cabello)","Mark Ronson","dance pop",2019,104,66,61,-7,20,16,176,1,3,75
"600","Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran","pop",2019,95,79,75,-6,7,61,206,21,12,75
"601","No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)","DJ Khaled","dance pop",2019,136,76,53,-5,9,65,260,7,34,70
"602","Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson","dance pop",2019,114,79,60,-6,42,24,217,1,7,69
"603","Kills You Slowly","The Chainsmokers","electropop",2019,150,44,70,-9,13,23,213,6,6,67
