Catalog Number,Calendar Date,Eclipse Time,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth,Path Width (km),Central Duration
06288,639 September 3,08:17:01,4343,-16825,103,T,0.5887,1.062,41.3N,86.5E,54,203,250,04m42s
06289,640 January 28,21:57:14,4339,-16820,70,P,1.4986,0.1089,69.6N,159.2W,0,150,,
06290,640 February 27,14:30:29,4339,-16819,108,P,-1.4439,0.206,71.6S,97.0E,0,246,,
06291,640 July 24,14:09:19,4335,-16814,75,P,-1.3147,0.4185,69.0S,36.2W,0,22,,
06292,640 August 22,23:54:28,4334,-16813,113,P,1.3287,0.3906,71.0N,36.8W,0,305,,
06293,641 January 17,05:25:38,4330,-16808,80,A,0.735,0.9972,27.0N,114.5E,42,173,15,00m17s
06294,641 July 13,21:20:57,4326,-16802,85,A,-0.5962,0.963,15.0S,123.9W,53,4,167,04m45s
06295,642 January 6,19:05:52,4321,-16796,90,T,0.0263,1.0437,20.8S,85.9W,89,177,146,04m06s
06296,642 July 2,22:35:07,4317,-16790,95,A,0.1639,0.9477,32.6N,140.5W,80,180,195,06m21s
06297,642 December 27,10:51:27,4312,-16784,100,T,-0.6448,1.0358,63.7S,34.0E,50,4,158,02m27s
06298,643 June 22,00:25:51,4308,-16778,105,A,0.9176,0.9648,85.5N,94.4E,23,81,326,02m17s
06299,643 November 17,09:34:13,4304,-16773,72,P,1.4917,0.1155,63.0N,96.3E,0,222,,
06300,643 December 16,23:59:22,4303,-16772,110,P,-1.3669,0.3272,65.6S,33.8E,0,166,,
06301,644 May 12,00:25:07,4300,-16767,77,T,-0.9666,1.04,51.6S,137.6W,14,329,531,02m56s
06302,644 November 5,12:24:02,4295,-16761,82,A,0.8539,0.9181,37.4N,32.6E,31,207,582,08m59s
06303,645 May 1,16:55:24,4291,-16755,87,T,-0.2115,1.0779,4.7N,52.4W,78,338,257,06m38s
06304,645 October 25,11:32:44,4286,-16749,92,A,0.1682,0.9271,4.5S,25.2E,80,205,277,08m52s
06305,646 April 21,09:31:04,4282,-16743,97,T,0.5316,1.0502,41.0N,36.5E,58,146,195,03m45s
06306,646 October 14,14:37:46,4277,-16737,102,A,-0.5375,0.9688,37.6S,43.2W,57,35,132,02m48s
06307,647 March 12,08:27:23,4273,-16732,69,P,-1.4573,0.1764,60.8S,167.7E,0,265,,
06308,647 April 10,21:36:12,4273,-16731,107,P,1.3334,0.3871,61.3N,127.1E,0,71,,
06309,647 September 4,15:31:41,4269,-16726,74,P,1.426,0.2039,61.2N,65.9E,0,283,,
06310,647 October 4,01:10:30,4268,-16725,112,P,-1.2065,0.6186,60.9S,78.1E,0,101,,
06311,648 February 29,09:46:24,4265,-16720,79,A,-0.7722,0.9257,48.8S,88.3E,39,315,430,06m44s
06312,648 August 24,08:10:54,4260,-16714,84,T,0.727,1.0579,49.8N,105.7E,43,223,274,03m52s
06313,649 February 17,09:59:12,4256,-16708,89,A,-0.0499,0.9455,13.6S,53.2E,87,334,201,06m05s
06314,649 August 13,22:52:54,4251,-16702,94,T,0.0045,1.0243,14.2N,144.8W,90,199,83,02m16s
06315,650 February 6,15:56:44,4247,-16696,99,A,0.6641,0.9896,23.5N,54.7W,48,154,48,01m01s
06316,650 August 3,07:30:19,4242,-16690,104,A,-0.7836,0.966,30.9S,66.0E,38,25,193,03m34s
06317,650 December 28,18:14:40,4238,-16685,71,P,-1.3564,0.3379,64.9S,81.8E,0,202,,
06318,651 January 27,04:40:40,4238,-16684,109,P,1.3144,0.4175,62.5N,79.9E,0,132,,
06319,651 June 23,18:19:23,4234,-16679,76,P,1.3048,0.4409,65.4N,85.3E,0,344,,
06320,651 July 23,09:28:50,4233,-16678,114,Pb,-1.5588,0.0086,63.1S,11.9E,0,41,,
06321,651 December 18,09:42:29,4229,-16673,81,T,-0.7167,1.0241,69.2S,63.2E,44,346,118,01m36s
06322,652 June 11,21:39:10,4225,-16667,86,A,0.5057,0.9862,54.0N,125.7W,59,184,56,01m13s
06323,652 December 6,21:16:51,4220,-16661,91,A,-0.0391,0.9771,25.5S,122.6W,88,359,82,02m31s
06324,653 June 1,08:05:39,4216,-16655,96,T,-0.2861,1.0436,5.9N,75.5E,73,358,152,04m32s
06325,653 November 26,01:41:15,4212,-16649,101,A,0.6779,0.9257,21.1N,172.8E,47,184,380,09m51s
06326,654 April 22,17:13:12,4208,-16644,68,Pe,1.4901,0.0743,70.6N,167.0E,0,47,,
06327,654 May 22,00:02:55,4207,-16643,106,P,-1.0131,0.999,68.4S,148.6W,0,345,,
06328,654 November 15,00:54:10,4203,-16637,111,P,1.3578,0.3547,69.1N,155.6W,0,202,,
06329,655 April 12,08:56:58,4199,-16632,78,T,0.8065,1.0296,59.8N,36.8E,36,147,169,02m05s
06330,655 October 5,11:47:14,4194,-16626,83,A,-0.8953,0.9807,63.9S,19.5W,26,42,154,01m24s
06331,656 March 31,19:02:49,4190,-16620,88,A,0.0666,0.9783,9.2N,88.7W,86,163,77,02m29s
06332,656 September 24,00:12:25,4185,-16614,93,T,-0.1496,1.0441,9.7S,170.5W,81,18,149,04m05s
06333,657 March 20,21:51:04,4181,-16608,98,A,-0.6929,0.935,40.4S,112.4W,46,336,332,06m56s
06334,657 September 13,16:24:06,4177,-16602,103,T,0.549,1.0588,34.4N,38.3W,56,202,230,04m42s
06335,658 February 8,05:51:03,4173,-16597,70,P,1.516,0.0767,70.4N,69.0E,0,137,,
06336,658 March 9,21:49:57,4172,-16596,108,P,-1.3999,0.2794,71.9S,27.5W,0,260,,
06337,658 August 4,21:25:50,4168,-16591,75,P,-1.3825,0.2955,69.9S,158.2W,0,33,,
06338,658 September 3,07:42:11,4168,-16590,113,P,1.2866,0.4693,71.5N,167.9W,0,292,,
06339,659 January 28,13:49:17,4164,-16585,80,H,0.7468,1.0021,30.3N,15.0W,41,168,11,00m12s
06340,659 July 25,04:04:28,4159,-16579,85,A,-0.674,0.9577,22.7S,131.5E,47,8,208,05m13s
06341,660 January 18,03:49:03,4155,-16573,90,T,0.0354,1.0468,18.2S,143.3E,88,173,156,04m22s
06342,660 July 13,05:02:57,4151,-16567,95,A,0.0801,0.9468,26.4N,122.7E,85,184,197,06m46s
06343,661 January 6,19:37:59,4146,-16561,100,T,-0.6398,1.0357,62.1S,90.6W,50,354,157,02m29s
06344,661 July 2,07:07:22,4142,-16555,105,A,0.8339,0.9692,79.9N,88.8E,33,178,203,02m11s
06345,661 November 27,17:56:51,4138,-16550,72,P,1.5001,0.1023,63.9N,39.4W,0,212,,
06346,661 December 27,08:34:50,4137,-16549,110,P,-1.3681,0.3254,66.7S,106.2W,0,177,,
06347,662 May 23,07:44:42,4133,-16544,77,P,-1.0371,0.944,63.5S,118.9E,0,324,,
06348,662 June 21,15:58:36,4133,-16543,115,Pb,1.5377,0.003,66.0N,148.9E,0,11,,
06349,662 November 16,20:23:11,4129,-16538,82,A,0.865,0.9153,37.2N,91.0W,30,202,630,09m37s
06350,663 May 13,00:27:42,4125,-16532,87,T,-0.2818,1.0792,3.4N,165.7W,74,341,266,06m56s
06351,663 November 5,19:27:43,4120,-16526,92,A,0.1826,0.9265,7.1S,94.3W,80,202,281,09m12s
06352,664 May 1,16:59:55,4116,-16520,97,T,0.4658,1.0501,41.3N,73.2W,62,150,187,03m50s
06353,664 October 24,22:47:46,4111,-16514,102,A,-0.5193,0.9695,40.9S,165.6W,59,33,127,02m42s
06354,665 March 22,15:47:20,4108,-16509,69,Pe,-1.5106,0.084,60.8S,48.4E,0,274,,
06355,665 April 21,04:48:01,4107,-16508,107,P,1.2736,0.4945,61.7N,9.7E,0,62,,
06356,665 September 14,23:38:28,4103,-16503,74,P,1.4618,0.1363,61.0N,65.2W,0,274,,
06357,665 October 14,09:33:22,4102,-16502,112,P,-1.1819,0.6641,61.2S,57.0W,0,110,,
06358,666 March 11,16:59:40,4099,-16497,79,A,-0.8187,0.9275,47.9S,18.8W,35,314,461,06m34s
06359,666 September 4,16:09:34,4094,-16491,84,T,0.774,1.0524,48.5N,12.3W,39,225,269,03m31s
06360,667 February 28,17:31:36,4090,-16485,89,Am,-0.0868,0.9506,11.3S,60.1W,85,332,182,05m23s
06361,667 August 25,06:27:37,4085,-16479,94,T,0.0594,1.018,13.3N,101.8E,87,207,62,01m40s
06362,668 February 18,00:02:44,4081,-16473,99,A,0.6371,0.9959,24.5N,178.1W,50,151,18,00m23s
06363,668 August 13,14:31:17,4076,-16467,104,A,-0.7202,0.9619,28.1S,40.3W,44,28,194,04m00s
06364,669 January 8,03:03:18,4073,-16462,71,P,-1.3617,0.3275,63.9S,60.8W,0,212,,
06365,669 February 6,13:11:22,4072,-16461,109,P,1.2949,0.4541,61.9N,57.5W,0,122,,
06366,669 July 4,00:46:07,4068,-16456,76,P,1.3865,0.3008,64.5N,21.9W,0,335,,
06367,669 August 2,16:06:06,4068,-16455,114,P,-1.4861,0.1336,62.4S,97.3W,0,50,,
06368,669 December 28,18:29:34,4064,-16450,81,T,-0.7212,1.0227,68.0S,58.9W,44,334,112,01m30s
06369,670 June 23,04:26:06,4060,-16444,86,A,0.5856,0.9883,59.2N,138.4E,54,193,51,00m58s
06370,670 December 18,05:46:46,4055,-16438,91,A,-0.0415,0.9744,26.1S,110.8E,87,355,92,02m49s
06371,671 June 12,15:19:39,4051,-16432,96,T,-0.209,1.0473,11.4N,34.3W,78,2,161,04m48s
06372,671 December 7,09:48:18,4046,-16426,101,A,0.6733,0.9238,19.4N,48.2E,48,179,389,10m18s
06373,672 June 1,07:30:46,4042,-16420,106,T,-0.9404,1.068,48.1S,85.4E,19,358,663,05m06s
06374,672 November 25,08:54:26,4037,-16414,111,P,1.349,0.3694,68.0N,72.0E,0,190,,
06375,673 April 22,16:26:17,4034,-16409,78,T,0.8714,1.027,69.6N,88.0W,29,138,188,01m45s
06376,673 October 15,19:56:59,4029,-16403,83,A,-0.9133,0.9805,69.6S,151.9W,24,51,172,01m20s
06377,674 April 12,02:12:24,4025,-16397,88,A,0.1295,0.9778,16.8N,161.4E,82,164,80,02m31s
06378,674 October 5,08:33:20,4020,-16391,93,T,-0.175,1.043,15.5S,62.4E,80,18,146,03m56s
06379,675 April 1,04:46:39,4016,-16385,98,A,-0.6326,0.9377,32.1S,138.6E,51,340,296,07m10s
06380,675 September 25,00:40:11,4012,-16379,103,T,0.517,1.0553,28.0N,165.2W,59,200,212,04m37s
06381,676 February 19,13:37:43,4008,-16374,70,Pe,1.5396,0.0335,71.1N,61.6W,0,124,,
06382,676 March 20,05:00:44,4007,-16373,108,P,-1.3481,0.3667,72.0S,150.1W,0,273,,
06383,676 August 15,04:47:42,4004,-16368,75,P,-1.445,0.1836,70.7S,77.9E,0,46,,
06384,676 September 13,15:37:12,4003,-16367,113,P,1.2509,0.5352,71.8N,58.7E,0,278,,
06385,677 February 7,22:08:16,3999,-16362,80,H,0.7632,1.0073,34.4N,143.7W,40,164,39,00m40s
06386,677 August 4,10:52:22,3995,-16356,85,A,-0.7474,0.9521,31.0S,24.7E,41,12,262,05m33s
06387,678 January 28,12:28:34,3990,-16350,90,T,0.048,1.0501,14.8S,13.0E,87,169,166,04m40s
06388,678 July 24,11:34:07,3986,-16344,95,Am,-0.0011,0.9455,19.6N,24.1E,90,172,201,07m11s
06389,679 January 18,04:21:40,3982,-16338,100,T,-0.6329,1.036,59.1S,143.5E,50,347,157,02m33s
06390,679 July 13,13:53:46,3977,-16332,105,A,0.7531,0.9724,70.6N,2.3W,41,191,151,02m07s
06391,679 December 9,02:20:02,3973,-16327,72,P,1.5072,0.0911,64.9N,175.5W,0,202,,
06392,680 January 7,17:06:18,3973,-16326,110,P,-1.3669,0.3276,67.7S,114.3E,0,188,,
06393,680 June 2,15:04:59,3969,-16321,77,P,-1.1075,0.8109,64.4S,1.5W,0,333,,
06394,680 July 1,23:10:18,3968,-16320,115,P,1.4605,0.1456,67.0N,29.8E,0,0,,
06395,680 November 27,04:24:53,3965,-16315,82,A,0.8734,0.9133,37.3N,144.4E,29,197,673,10m08s
06396,681 May 23,07:58:17,3960,-16309,87,T,-0.3538,1.0797,1.2N,81.2E,69,345,274,07m10s
06397,681 November 16,03:27:16,3956,-16303,92,A,0.1936,0.9264,9.2S,145.3E,79,198,282,09m29s
06398,682 May 13,00:23:50,3951,-16297,97,T,0.3964,1.0494,40.8N,178.7E,66,155,178,03m54s
06399,682 November 5,07:04:37,3947,-16291,102,A,-0.5056,0.9706,44.3S,71.0E,59,31,122,02m35s
06400,683 May 2,11:50:52,3943,-16285,107,P,1.2071,0.6135,62.2N,105.7W,0,54,,
06401,683 September 26,07:54:43,3939,-16280,74,P,1.4907,0.0822,61.0N,161.3E,0,265,,
06402,683 October 25,18:04:33,3938,-16279,112,P,-1.1635,0.6981,61.7S,165.7E,0,119,,
06403,684 March 22,00:02:14,3935,-16274,79,A,-0.8738,0.929,48.6S,122.4W,29,313,531,06m23s
06404,684 September 15,00:16:17,3930,-16268,84,T,0.814,1.0468,47.2N,133.6W,35,225,263,03m11s
06405,685 March 11,00:55:43,3926,-16262,89,A,-0.1313,0.9559,9.2S,171.3W,82,331,162,04m44s
06406,685 September 4,14:09:25,3922,-16256,94,H,0.1074,1.0116,11.6N,13.7W,84,209,40,01m04s
06407,686 February 28,08:00:49,3917,-16250,99,H,0.6026,1.0026,25.7N,61.0E,53,149,11,00m14s
06408,686 August 24,21:37:46,3913,-16244,104,A,-0.6619,0.9573,26.8S,147.8W,48,30,202,04m27s
06409,687 January 19,11:48:03,3909,-16239,71,P,-1.3707,0.3102,63.1S,157.9E,0,222,,
06410,687 February 17,21:34:47,3908,-16238,109,P,1.2691,0.5026,61.4N,167.1E,0,113,,
06411,687 July 15,07:16:25,3905,-16233,76,P,1.4655,0.1655,63.7N,129.7W,0,325,,
06412,687 August 13,22:50:13,3904,-16232,114,P,-1.418,0.25,61.7S,152.0E,0,59,,
06413,688 January 9,03:13:09,3900,-16227,81,T,-0.7284,1.0218,65.6S,177.5E,43,325,108,01m27s
06414,688 July 3,11:17:17,3896,-16221,86,A,0.6632,0.9897,63.1N,44.4E,48,204,49,00m48s
06415,688 December 28,14:15:19,3892,-16215,91,A,-0.0447,0.9723,25.8S,15.4W,87,350,99,03m02s
06416,689 June 22,22:34:45,3887,-16209,96,T,-0.1319,1.0503,16.1N,143.6W,83,7,168,04m56s
06417,689 December 17,17:56:06,3883,-16203,101,A,0.6698,0.9225,18.4N,76.4W,48,175,394,10m31s
06418,690 June 12,14:57:16,3878,-16197,106,T,-0.8662,1.0718,36.8S,31.7W,30,3,469,05m52s
06419,690 December 6,16:57:53,3874,-16191,111,P,1.3426,0.3801,66.9N,60.6W,0,179,,
06420,691 May 3,23:48:12,3870,-16186,78,T,0.9415,1.0229,78.9N,123.0E,19,102,238,01m20s
06421,691 October 27,04:15:17,3866,-16180,83,A,-0.9252,0.9807,74.7S,72.2E,22,61,184,01m16s
06422,692 April 22,09:14:36,3862,-16174,88,A,0.1975,0.9769,24.5N,53.6E,78,165,84,02m35s
06423,692 October 15,17:00:55,3857,-16168,93,T,-0.1952,1.0421,21.0S,65.9W,79,17,143,03m48s
06424,693 April 11,11:36:01,3853,-16162,98,A,-0.5674,0.9403,23.9S,31.8E,55,343,266,07m21s
06425,693 October 5,09:03:11,3849,-16156,103,T,0.491,1.0517,22.2N,66.3E,60,198,196,04m30s
06426,694 March 31,12:04:07,3844,-16150,108,P,-1.2894,0.4669,71.8S,89.3E,0,287,,
06427,694 August 26,12:15:04,3841,-16145,75,Pe,-1.502,0.0832,71.3S,47.9W,0,59,,
06428,694 September 24,23:39:10,3840,-16144,113,P,1.2216,0.5889,71.8N,76.6W,0,264,,
06429,695 February 19,06:19:39,3836,-16139,80,T,0.7865,1.0126,39.6N,88.8E,38,160,70,01m05s
06430,695 August 15,17:47:00,3832,-16133,85,A,-0.8142,0.9463,39.7S,84.9W,35,18,338,05m46s
06431,696 February 8,20:59:58,3828,-16127,90,T,0.0674,1.0537,10.3S,115.8W,86,166,178,04m58s
06432,696 August 3,18:13:52,3823,-16121,95,A,-0.0754,0.9439,12.6N,77.4W,86,11,208,07m30s
06433,697 January 28,12:58:36,3819,-16115,100,T,-0.621,1.0367,54.9S,16.9E,51,342,158,02m41s
06434,697 July 23,20:46:01,3815,-16109,105,A,0.6761,0.9749,61.7N,103.5W,47,195,122,02m04s
06435,697 December 19,10:42:19,3811,-16104,72,P,1.5144,0.0798,65.9N,48.1E,0,191,,
06436,698 January 18,01:32:29,3810,-16103,110,P,-1.3624,0.3359,68.7S,24.4W,0,199,,
06437,698 June 13,22:24:22,3807,-16098,77,P,-1.1789,0.675,65.3S,122.0W,0,343,,
06438,698 July 13,06:25:23,3806,-16097,115,P,1.3851,0.2855,68.0N,90.6W,0,350,,
06439,698 December 8,12:28:45,3802,-16092,82,A,0.8799,0.912,37.8N,19.0E,28,192,707,10m28s
06440,699 June 3,15:24:55,3798,-16086,87,T,-0.4291,1.0792,2.2S,31.3W,65,349,282,07m17s
06441,699 November 27,11:32:43,3794,-16080,92,A,0.2003,0.927,10.7S,23.5E,79,194,280,09m40s
06442,700 May 23,07:42:50,3789,-16074,97,T,0.3233,1.048,39.4N,72.0E,71,161,168,03m56s
06443,700 November 15,15:27:33,3785,-16068,102,A,-0.4962,0.9721,47.4S,53.0W,60,27,115,02m26s
06444,701 May 12,18:48:06,3781,-16062,107,P,1.1366,0.7392,62.8N,140.2E,0,45,,
06445,701 October 6,16:18:38,3777,-16057,74,P,1.5138,0.0391,61.2N,25.9E,0,256,,
06446,701 November 5,02:42:23,3776,-16056,112,P,-1.1502,0.7226,62.3S,26.6E,0,128,,
06447,702 April 2,06:56:41,3773,-16051,79,A,-0.9353,0.9299,51.7S,138.2E,20,310,725,06m09s
06448,702 September 26,08:29:49,3768,-16045,84,T,0.8481,1.041,46.2N,102.4E,32,224,253,02m51s
06449,703 March 22,08:13:08,3764,-16039,89,A,-0.1819,0.9612,7.5S,79.2E,79,331,143,04m08s
06450,703 September 15,21:57:57,3760,-16033,94,H,0.1492,1.0052,9.4N,131.1W,81,209,18,00m29s
06451,704 March 10,15:52:29,3755,-16027,99,H,0.5619,1.0093,27.1N,57.8W,56,147,38,00m49s
06452,704 September 4,04:52:06,3751,-16021,104,A,-0.6104,0.9526,26.8S,102.8E,52,32,214,04m53s
06453,705 January 29,20:27:40,3747,-16016,71,P,-1.3844,0.284,62.4S,18.1E,0,231,,
06454,705 February 28,05:52:06,3747,-16015,109,P,1.238,0.5617,61.1N,33.3E,0,104,,
06455,705 July 25,13:52:37,3743,-16010,76,Pe,1.5397,0.0384,62.9N,121.2E,0,316,,
06456,705 August 24,05:41:35,3742,-16009,114,P,-1.3552,0.357,61.3S,39.7E,0,68,,
06457,706 January 19,11:51:48,3739,-16004,81,T,-0.7395,1.0211,62.5S,52.6E,42,319,107,01m24s
06458,706 July 14,18:13:55,3735,-15998,86,A,0.7372,0.9904,65.4N,48.4W,42,217,50,00m42s
06459,707 January 8,22:38:11,3730,-15992,91,A,-0.052,0.9708,24.8S,140.3W,87,345,105,03m09s
06460,707 July 4,05:53:44,3726,-15986,96,T,-0.0573,1.0525,19.8N,106.8E,87,12,174,04m57s
06461,707 December 29,02:00:34,3722,-15980,101,A,0.6636,0.9219,17.9N,159.8E,48,170,392,10m30s
06462,708 June 22,22:25:31,3717,-15974,106,T,-0.7933,1.0737,28.8S,147.5W,37,8,393,06m18s
06463,708 December 17,01:00:57,3713,-15968,111,P,1.3352,0.3923,65.8N,167.5E,0,168,,
06464,709 May 14,07:04:35,3709,-15963,78,P,1.0154,0.9736,69.1N,68.7W,0,22,,
06465,709 November 6,12:41:08,3705,-15957,83,A,-0.9319,0.9814,79.2S,67.4W,21,73,186,01m10s
06466,710 May 3,16:06:47,3701,-15951,88,A,0.2731,0.9755,32.3N,51.2W,74,167,91,02m38s
06467,710 October 27,01:37:19,3696,-15945,93,T,-0.2087,1.0414,25.7S,164.3E,78,14,141,03m41s
06468,711 April 22,18:15:28,3692,-15939,98,A,-0.4937,0.9427,15.6S,72.2W,60,346,242,07m29s
06469,711 October 16,17:34:15,3688,-15933,103,T,0.4719,1.0482,17.1N,64.0W,62,196,181,04m21s
06470,712 April 10,18:59:59,3684,-15927,108,P,-1.2234,0.5805,71.4S,29.1W,0,301,,
06471,712 October 5,07:48:54,3679,-15921,113,P,1.1989,0.6297,71.6N,146.2E,0,250,,
06472,713 March 1,14:25:35,3676,-15916,80,T,0.8151,1.0179,45.7N,38.0W,35,155,105,01m27s
06473,713 August 26,00:46:30,3671,-15910,85,A,-0.8762,0.9401,49.0S,162.1E,28,24,458,05m52s
06474,714 February 19,05:26:24,3667,-15904,90,T,0.0914,1.0574,5.2S,116.1E,85,164,190,05m15s
06475,714 August 15,00:59:30,3663,-15898,95,A,-0.1449,0.942,5.4N,179.0E,82,14,217,07m46s
06476,715 February 8,21:28:51,3659,-15892,100,T,-0.604,1.0377,49.8S,110.1W,53,339,159,02m51s
06477,715 August 4,03:46:01,3654,-15886,105,A,0.6044,0.9767,53.3N,150.8E,53,198,104,02m03s
06478,715 December 30,19:02:01,3651,-15881,72,P,1.5228,0.066,67.0N,88.0W,0,180,,
06479,716 January 29,09:52:15,3650,-15880,110,P,-1.3537,0.3514,69.7S,162.2W,0,212,,
06480,716 June 24,05:46:51,3646,-15875,77,P,-1.2484,0.542,66.3S,116.4E,0,353,,
06481,716 July 23,13:47:09,3646,-15874,115,P,1.314,0.418,68.9N,146.8E,0,339,,
06482,716 December 18,20:30:55,3642,-15869,82,A,0.8874,0.9112,39.0N,106.1W,27,186,740,10m35s
06483,717 June 13,22:52:28,3638,-15863,87,T,-0.5035,1.0779,6.5S,144.6W,60,353,291,07m15s
06484,717 December 7,19:39:54,3634,-15857,92,A,0.2059,0.9282,11.6S,98.6W,78,190,275,09m43s
06485,718 June 3,14:57:54,3629,-15851,97,T,0.2478,1.0458,36.9N,34.1W,75,166,157,03m56s
06486,718 November 26,23:55:08,3625,-15845,102,A,-0.49,0.9742,50.1S,177.1W,60,22,106,02m15s
06487,719 May 24,01:39:12,3621,-15839,107,P,1.062,0.8714,63.6N,27.5E,0,35,,
06488,719 October 18,00:50:25,3617,-15834,74,Pe,1.5311,0.0071,61.5N,111.5W,0,247,,
06489,719 November 16,11:25:02,3616,-15833,112,P,-1.1408,0.7402,63.0S,113.8W,0,138,,
06490,720 April 12,13:42:10,3613,-15828,79,A-,-1.0037,0.9531,61.2S,60.5E,0,291,-,-
06491,720 October 6,16:51:39,3609,-15822,84,T,0.8749,1.0355,45.5N,24.8W,29,222,241,02m32s
06492,721 April 1,15:23:02,3604,-15816,89,A,-0.2396,0.9666,6.3S,28.5W,76,331,124,03m34s
06493,721 September 26,05:53:18,3600,-15810,94,A,0.1845,0.9988,6.8N,109.5E,79,209,4,00m07s
06494,722 March 21,23:36:39,3596,-15804,99,T,0.5141,1.0162,28.5N,174.2W,59,146,64,01m23s
06495,722 September 15,12:13:45,3592,-15798,104,A,-0.5655,0.9477,28.0S,8.2W,55,33,228,05m19s
06496,723 February 10,04:59:52,3588,-15793,71,P,-1.4042,0.2457,61.8S,119.6W,0,241,,
06497,723 March 11,14:00:20,3587,-15792,109,P,1.1992,0.6358,60.9N,98.1W,0,95,,
06498,723 September 4,12:42:29,3583,-15786,114,P,-1.2996,0.4512,60.9S,74.9W,0,77,,
06499,724 January 30,20:24:34,3580,-15781,81,T,-0.7552,1.0207,59.2S,72.8W,41,315,107,01m23s
06500,724 July 25,01:16:50,3575,-15775,86,A,0.8066,0.9906,66.1N,141.6W,36,231,56,00m39s
06501,725 January 19,06:56:11,3571,-15769,91,A,-0.0624,0.9696,23.1S,95.8E,86,341,109,03m14s
06502,725 July 14,13:16:43,3567,-15763,96,T,0.0146,1.054,22.3N,3.2W,89,194,179,04m53s
06503,726 January 8,10:02:27,3563,-15757,101,A,0.6558,0.9219,18.0N,36.8E,49,165,387,10m16s
06504,726 July 4,05:53:59,3558,-15751,106,T,-0.7206,1.0745,22.6S,97.7E,44,12,347,06m31s
06505,726 December 28,09:04:22,3554,-15745,111,P,1.3278,0.4046,64.8N,35.9E,0,158,,
06506,727 May 25,14:15:57,3551,-15740,78,P,1.0925,0.8295,68.1N,171.2E,0,11,,
06507,727 June 23,22:34:35,3550,-15739,116,Pb,-1.4763,0.1082,65.4S,161.5W,0,16,,
06508,727 November 17,21:12:00,3546,-15734,83,A,-0.9352,0.9827,83.3S,146.8E,20,89,177,01m03s
06509,728 May 13,22:54:08,3542,-15728,88,A,0.3517,0.9737,39.9N,153.9W,69,170,101,02m43s
06510,728 November 6,10:18:56,3538,-15722,93,T,-0.2182,1.0409,29.8S,33.8E,77,12,140,03m36s
06511,729 May 3,00:49:47,3534,-15716,98,A,-0.416,0.9448,7.7S,174.3W,65,349,223,07m31s
06512,729 October 27,02:10:21,3529,-15710,103,T,0.4574,1.0448,12.6N,164.7E,63,193,167,04m11s
06513,730 April 22,01:50:35,3525,-15704,108,P,-1.1522,0.7044,70.8S,145.8W,0,314,,
06514,730 October 16,16:04:50,3521,-15698,113,P,1.1824,0.659,71.2N,7.8E,0,236,,
06515,731 March 12,22:22:19,3517,-15693,80,T,0.8516,1.0229,52.7N,164.2W,31,150,148,01m43s
06516,731 September 6,07:54:58,3513,-15687,85,A,-0.9299,0.9338,58.5S,43.3E,21,34,673,05m51s
06517,732 March 1,13:43:50,3509,-15681,90,T,0.1226,1.0611,0.7N,10.2W,83,163,202,05m32s
06518,732 August 25,07:54:41,3505,-15675,95,A,-0.2066,0.9401,1.8S,72.7E,78,16,226,07m55s
06519,733 February 19,05:50:33,3500,-15669,100,T,-0.5806,1.0389,44.0S,123.5E,54,338,160,03m03s
06520,733 August 14,10:54:42,3496,-15663,105,A,0.5391,0.978,45.2N,42.0E,57,199,93,02m03s
06521,734 January 10,03:17:02,3493,-15658,72,P,1.5341,0.0469,68.1N,136.5E,0,169,,
06522,734 February 8,18:03:13,3492,-15657,110,P,-1.3386,0.3781,70.5S,61.7E,0,224,,
06523,734 July 5,13:10:19,3489,-15652,77,P,-1.3172,0.4098,67.3S,5.9W,0,3,,
06524,734 August 3,21:14:27,3488,-15651,115,P,1.2467,0.5437,69.9N,22.2E,0,327,,
06525,734 December 30,04:32:13,3484,-15646,82,A,0.8952,0.9112,40.9N,128.8E,26,181,768,10m28s
06526,735 June 25,06:19:09,3480,-15640,87,T,-0.5781,1.0756,11.9S,101.6E,55,357,300,07m02s
06527,735 December 19,03:48:27,3476,-15634,92,A,0.2107,0.9301,11.6S,139.0E,78,185,268,09m35s
06528,736 June 13,22:11:01,3472,-15628,97,T,0.1715,1.0428,33.5N,140.4W,80,172,145,03m52s
06529,736 December 7,08:26:24,3467,-15622,102,A,-0.4866,0.9767,51.9S,58.8E,61,15,95,02m01s
06530,737 June 3,08:25:50,3463,-15616,107,A,0.9844,0.9737,72.3N,71.2W,9,39,595,01m30s
06531,737 November 26,20:12:02,3459,-15610,112,P,-1.1347,0.7516,63.9S,104.4E,0,148,,
06532,738 April 23,20:21:34,3456,-15605,79,P,-1.0767,0.8301,61.7S,48.8W,0,300,,
06533,738 October 18,01:19:49,3451,-15599,84,T,0.8964,1.0302,45.0N,154.4W,26,218,226,02m13s
06534,739 April 12,22:26:36,3447,-15593,89,A,-0.3033,0.9717,5.9S,134.5W,72,333,106,03m03s
06535,739 October 7,13:55:43,3443,-15587,94,A,0.2131,0.9926,4.1N,11.9W,78,208,26,00m43s
06536,740 April 1,07:15:31,3439,-15581,99,T,0.4609,1.0229,29.8N,71.4E,62,147,87,01m55s
06537,740 September 25,19:42:24,3435,-15575,104,A,-0.5269,0.9431,29.9S,120.9W,58,34,243,05m45s
